"","Sig1","Sig2"
"SBS42",0.834,0.111
"SBS1",0.197,0.955
"SBS2",0.229,0.087
"SBS3",0.59,0.2
"SBS4",0.324,0.133
"SBS5",0.681,0.343
"SBS6",0.648,0.763
"SBS7a",0.373,0.177
"SBS7b",0.479,0.202
"SBS7c",0.147,0.061
"SBS7d",0.198,0.038
"SBS8",0.304,0.145
"SBS9",0.289,0.159
"SBS10a",0.1,0.043
"SBS10b",0.189,0.28
"SBS11",0.636,0.112
"SBS12",0.266,0.075
"SBS13",0.035,0.059
"SBS14",0.217,0.138
"SBS15",0.561,0.58
"SBS16",0.155,0.129
"SBS17a",0.185,0.009
"SBS17b",0.013,0.035
"SBS18",0.279,0.216
"SBS19",0.584,0.174
"SBS20",0.436,0.163
"SBS21",0.199,0.061
"SBS22",0.142,0.031
"SBS23",0.736,0.154
"SBS24",0.425,0.176
"SBS25",0.48,0.309
"SBS26",0.277,0.112
"SBS27",0.141,0.065
"SBS28",0.018,0.054
"SBS29",0.262,0.256
"SBS30",0.697,0.213
"SBS31",0.459,0.193
"SBS32",0.578,0.241
"SBS33",0.201,0.051
"SBS34",0.057,0.057
"SBS35",0.417,0.136
"SBS36",0.192,0.112
"SBS37",0.23,0.142
"SBS38",0.165,0.059
"SBS39",0.317,0.209
"SBS40",0.585,0.205
"SBS41",0.236,0.166
"SBS43",0.095,0.028
"SBS44",0.756,0.239
"SBS45",0.18,0.067
"SBS46",0.422,0.115
"SBS47",0.15,0.073
"SBS48",0.015,0.014
"SBS49",0.078,0.04
"SBS50",0.275,0.185
"SBS51",0.216,0.119
"SBS52",0.066,0.037
"SBS53",0.191,0.079
"SBS54",0.267,0.108
"SBS55",0.08,0.054
"SBS56",0.1,0.055
"SBS57",0.268,0.154
"SBS58",0.339,0.146
"SBS59",0.086,0.03
"SBS60",0.021,0.018
"SBS84",0.785,0.079
"SBS85",0.17,0.057
"SBS86",0.18,0.182
"SBS87",0.243,0.797
"SBS88",0.105,0.131
"SBS89",0.464,0.19
"SBS90",0.057,0.03
