"","Sig1","Sig2","Sig3","Sig4","Sig5","Sig6","Sig7","Sig8"
"SBS6",0.872,0.832,0.004,0.006,0.008,0.001,0.006,0.001
"SBS1",0.71,0.929,0.006,0.007,0.006,0.006,0,0.001
"SBS86",0.147,0.166,0.814,0.038,0.023,0.025,0.01,0.024
"SBS57",0.213,0.18,0.077,0.505,0.138,0.062,0.106,0.015
"SBS33",0.105,0.112,0.105,0.03,0.319,0.011,0.026,0.003
"SBS90",0.013,0.01,0.012,0.11,0.048,0.357,0.018,0.005
"SBS17a",0.049,0.036,0.079,0.057,0.028,0.085,0.757,0.003
"SBS55",0.069,0.062,0.044,0.011,0.034,0.297,0.008,0.228
"SBS2",0.116,0.127,0.002,0.001,0,0,0.001,0
"SBS3",0.324,0.277,0.427,0.244,0.153,0.19,0.164,0.116
"SBS4",0.294,0.144,0.07,0.244,0.028,0.12,0.03,0.028
"SBS5",0.483,0.463,0.236,0.175,0.174,0.102,0.152,0.074
"SBS7a",0.214,0.225,0.001,0.002,0.001,0.002,0.004,0.001
"SBS7b",0.25,0.314,0.007,0.01,0.003,0.01,0.016,0.005
"SBS7c",0.073,0.055,0.053,0.411,0.028,0.15,0.127,0.005
"SBS7d",0.117,0.121,0.026,0.103,0.018,0.027,0.108,0.021
"SBS8",0.257,0.149,0.057,0.321,0.083,0.293,0.058,0.03
"SBS9",0.242,0.185,0.145,0.237,0.173,0.144,0.218,0.057
"SBS10a",0.31,0.026,0.003,0.063,0.009,0.002,0,0.001
"SBS10b",0.371,0.262,0.006,0.004,0.039,0.004,0.003,0.001
"SBS11",0.345,0.264,0.003,0.002,0.003,0.001,0.001,0.001
"SBS12",0.131,0.177,0.122,0.177,0.249,0.03,0.279,0.006
"SBS13",0.033,0.012,0.769,0.067,0.001,0.002,0,0.002
"SBS14",0.489,0.11,0.013,0.043,0.033,0.006,0.011,0.005
"SBS15",0.835,0.659,0.012,0.028,0.018,0.004,0.006,0.003
"SBS16",0.105,0.177,0.134,0.056,0.055,0.054,0.063,0.019
"SBS17b",0.042,0.02,0.024,0.003,0.042,0.009,0.027,0.004
"SBS18",0.399,0.203,0.04,0.203,0.024,0.041,0.012,0.014
"SBS19",0.267,0.276,0.016,0.006,0.006,0.005,0.002,0.008
"SBS20",0.477,0.195,0.028,0.064,0.023,0.012,0.041,0.002
"SBS21",0.156,0.134,0.067,0.088,0.241,0.002,0.078,0.002
"SBS22",0.024,0.05,0.023,0.125,0.079,0.332,0.022,0.011
"SBS23",0.357,0.327,0.002,0.004,0.001,0.001,0,0
"SBS24",0.352,0.196,0.063,0.453,0.022,0.059,0.023,0.019
"SBS25",0.387,0.364,0.185,0.23,0.171,0.247,0.096,0.06
"SBS26",0.172,0.202,0.097,0.15,0.28,0.013,0.322,0.013
"SBS27",0.087,0.081,0.029,0.032,0.131,0.052,0.015,0.004
"SBS28",0.06,0.024,0.024,0.019,0.182,0.009,0.002,0.023
"SBS29",0.364,0.229,0.036,0.321,0.019,0.042,0.01,0.01
"SBS30",0.354,0.356,0.006,0.004,0.008,0.005,0.014,0.002
"SBS31",0.227,0.301,0.058,0.121,0.055,0.101,0.068,0.019
"SBS32",0.432,0.35,0.017,0.036,0.029,0.017,0.011,0.008
"SBS34",0.042,0.047,0.013,0.045,0.014,0.212,0.005,0.001
"SBS35",0.292,0.18,0.162,0.209,0.051,0.209,0.023,0.029
"SBS36",0.356,0.093,0.036,0.244,0.01,0.016,0.009,0.005
"SBS37",0.165,0.193,0.175,0.204,0.224,0.066,0.375,0.1
"SBS38",0.197,0.074,0.019,0.032,0.009,0.01,0.011,0.006
"SBS39",0.202,0.204,0.729,0.129,0.082,0.108,0.082,0.17
"SBS40",0.366,0.275,0.35,0.253,0.122,0.147,0.143,0.094
"SBS41",0.2,0.174,0.292,0.224,0.127,0.185,0.064,0.021
"SBS42",0.465,0.264,0.029,0.091,0.033,0.046,0.022,0.011
"SBS43",0.04,0.044,0.115,0.017,0.082,0.272,0.031,0.156
"SBS44",0.661,0.35,0.038,0.131,0.067,0.009,0.065,0.001
"SBS45",0.254,0.071,0.019,0.085,0.003,0.007,0.003,0.004
"SBS46",0.21,0.228,0.176,0.148,0.285,0.027,0.454,0.006
"SBS47",0.096,0.096,0.049,0.062,0.032,0.207,0.021,0.039
"SBS48",0.007,0.018,0.022,0.072,0,0.001,0,0
"SBS49",0.052,0.038,0.003,0.029,0,0.004,0,0.001
"SBS50",0.208,0.206,0.07,0.062,0.038,0.059,0.007,0.082
"SBS51",0.151,0.16,0.096,0.139,0.081,0.233,0.036,0.088
"SBS52",0.08,0.034,0.017,0.405,0.006,0.007,0.007,0.004
"SBS53",0.094,0.117,0.085,0.047,0.019,0.061,0.028,0.018
"SBS54",0.148,0.196,0.063,0.042,0.24,0.01,0.092,0.008
"SBS56",0.306,0.027,0.006,0.205,0.027,0.007,0.005,0
"SBS58",0.254,0.214,0.102,0.155,0.063,0.074,0.107,0.023
"SBS59",0.139,0.023,0.015,0.133,0.006,0.01,0.022,0.006
"SBS60",0.019,0.014,0.011,0.004,0.01,0.344,0.003,0.041
"SBS84",0.427,0.226,0.107,0.05,0.006,0.009,0.007,0.027
"SBS85",0.095,0.104,0.096,0.329,0.116,0.191,0.082,0.033
"SBS87",0.494,0.74,0.087,0.053,0.036,0.061,0.042,0.127
"SBS88",0.117,0.157,0.051,0.274,0.202,0.032,0.004,0.012
"SBS89",0.314,0.241,0.33,0.169,0.102,0.289,0.048,0.09
